Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Ourense;5.005
001-102 I-XXII.Todas las causas;Ambos sexos;Palencia;2.248
001-102 I-XXII.Todas las causas;Ambos sexos;Palmas, Las;9.313
001-102 I-XXII.Todas las causas;Ambos sexos;Pontevedra;10.605
001-102 I-XXII.Todas las causas;Ambos sexos;Rioja, La;3.464
001-102 I-XXII.Todas las causas;Ambos sexos;Salamanca;4.402
001-102 I-XXII.Todas las causas;Ambos sexos;Santa Cruz de Tenerife;9.399
001-102 I-XXII.Todas las causas;Ambos sexos;Segovia;1.742
001-102 I-XXII.Todas las causas;Ambos sexos;Sevilla;17.515
001-102 I-XXII.Todas las causas;Ambos sexos;Soria;1.235
001-102 I-XXII.Todas las causas;Ambos sexos;Tarragona;7.919
001-102 I-XXII.Todas las causas;Ambos sexos;Teruel;1.878
001-102 I-XXII.Todas las causas;Ambos sexos;Toledo;6.240
001-102 I-XXII.Todas las causas;Ambos sexos;Valencia/Valncia;25.955
001-102 I-XXII.Todas las causas;Ambos sexos;Valladolid;5.450
001-102 I-XXII.Todas las causas;Ambos sexos;Zamora;2.819
001-102 I-XXII.Todas las causas;Ambos sexos;Zaragoza;10.764
001-102 I-XXII.Todas las causas;Ambos sexos;Ceuta;615
001-102 I-XXII.Todas las causas;Ambos sexos;Melilla;484
001-102 I-XXII.Todas las causas;Ambos sexos;Extranjero;2.463
001-102 I-XXII.Todas las causas;Hombres;Total;234.362
001-102 I-XXII.Todas las causas;Hombres;Albacete;2.073
001-102 I-XXII.Todas las causas;Hombres;Alicante/Alacant;9.623
001-102 I-XXII.Todas las causas;Hombres;Almería;3.239
001-102 I-XXII.Todas las causas;Hombres;Araba/Alava;1.582
001-102 I-XXII.Todas las causas;Hombres;Asturias;6.765
001-102 I-XXII.Todas las causas;Hombres;Avila;1.124
001-102 I-XXII.Todas las causas;Hombres;Badajoz;3.719
001-102 I-XXII.Todas las causas;Hombres;Balears, Illes;4.867
001-102 I-XXII.Todas las causas;Hombres;Barcelona;25.442
001-102 I-XXII.Todas las causas;Hombres;Bizkaia;6.358
001-102 I-XXII.Todas las causas;Hombres;Burgos;2.192
001-102 I-XXII.Todas las causas;Hombres;Cáceres;2.560
001-102 I-XXII.Todas las causas;Hombres;Cádiz;5.869
001-102 I-XXII.Todas las causas;Hombres;Cantabria;3.301
001-102 I-XXII.Todas las causas;Hombres;Castellón/Castelló;3.117
001-102 I-XXII.Todas las causas;Hombres;Ciudad Real;2.704
001-102 I-XXII.Todas las causas;Hombres;Córdoba;4.332
001-102 I-XXII.Todas las causas;Hombres;Coruña, A;6.950
001-102 I-XXII.Todas las causas;Hombres;Cuenca;1.293
001-102 I-XXII.Todas las causas;Hombres;Gipuzkoa;3.930
001-102 I-XXII.Todas las causas;Hombres;Girona;3.581
001-102 I-XXII.Todas las causas;Hombres;Granada;4.256
001-102 I-XXII.Todas las causas;Hombres;Guadalajara;1.140
001-102 I-XXII.Todas las causas;Hombres;Huelva;2.543
001-102 I-XXII.Todas las causas;Hombres;Huesca;1.397
001-102 I-XXII.Todas las causas;Hombres;Jaén;3.709
001-102 I-XXII.Todas las causas;Hombres;León;3.323
001-102 I-XXII.Todas las causas;Hombres;Lleida;2.319
001-102 I-XXII.Todas las causas;Hombres;Lugo;2.624
001-102 I-XXII.Todas las causas;Hombres;Madrid;24.906
001-102 I-XXII.Todas las causas;Hombres;Málaga;7.659
001-102 I-XXII.Todas las causas;Hombres;Murcia;6.789
001-102 I-XXII.Todas las causas;Hombres;Navarra;3.224
001-102 I-XXII.Todas las causas;Hombres;Ourense;2.493
001-102 I-XXII.Todas las causas;Hombres;Palencia;1.141
001-102 I-XXII.Todas las causas;Hombres;Palmas, Las;4.942
001-102 I-XXII.Todas las causas;Hombres;Pontevedra;5.119
001-102 I-XXII.Todas las causas;Hombres;Rioja, La;1.755
001-102 I-XXII.Todas las causas;Hombres;Salamanca;2.182
001-102 I-XXII.Todas las causas;Hombres;Santa Cruz de Tenerife;4.934
001-102 I-XXII.Todas las causas;Hombres;Segovia;859
